#Benchmark,ZDD,BDD
164.gzip,33581,156663
175.vpr,34234,178788
176.gcc,64607,276295
181.mcf,21517,121063
186.crafty,521,3711
197.parser,35717,178564
252.eon,24280,147433
253.perlbmk,21072,125391
254.gap,25234,143287
255.vortex,10,61
256.bzip2,132,1099
300.twolf,27167,162679
