#Benchmark,BDD GC, BDD Time
164.gzip,1535.53,4146.58
175.vpr,1901.55,4881.35
176.gcc,3353.13,7958.05
181.mcf,1066.45,3084.17
186.crafty,19.93,81.78
197.parser,1905.48,4881.55
252.eon,1381.62,3838.83
253.perlbmk,1148.97,3238.82
254.gap,1255.88,3644
255.vortex,0.32,0.32
256.bzip2,3.6,21.92
300.twolf,1681.85,4393.17
