#Benchmark,Naive TLP,TLP W/O Interference
400.perlbench,0.355042,0.3523
401.bzip2,13.725795,12.875146
403.gcc,1.299089,0.119131
429.mcf,0.991777,0.723026
445.gobmk,44.096121,15.264728
456.hmmer,0.0,0.0
458.sjeng,4.815504,4.807243
462.libquantum,2.045585,1.663162
464.h264ref,18.175059,16.988359
471.omnetpp,0.007935,0.0
473.astar,3.781855,3.293341
483.xalancbmk,1.615296,0.607514
