#Benchmark,Intersect,ITE
400.perlbench,.0008248333,.0008045000
401.bzip2,0,0
403.gcc,.0004861666,.0004840000
429.mcf,.5820885000,.8608275000
445.gobmk,.0198503333,.0200835000
456.hmmer,51.3899821666,24.2453801666
458.sjeng,0,0
462.libquantum,.0006433333,.0005835000
464.h264ref,0,0
471.omnetpp,45.4735311666,51.3360016666
473.astar,7.8895211666,8.5644093333
483.xalancbmk,33.0546041666,38.6313971666
