#Benchmark, BDD GC, BDD Time
164.gzip,206.83,624.23
175.vpr,507.13,921.9
176.gcc,741.88,1278.55
181.mcf,439.47,805.47
186.crafty,4.37,23.08
197.parser,476.22,883.12
252.eon,546.55,947.1
253.perlbmk,352.45,736.42
254.gap,402.87,812.73
255.vortex,0.15,0
256.bzip2,1.5,8.77
300.twolf,526.6,943.22
