#Benchmark,ZDD Time, BDD Time
164.gzip,1964,12410
175.vpr,3879,30428
176.gcc,7184,44513
181.mcf,3447,26368
186.crafty,69,262
197.parser,3042,28573
252.eon,4001,32793
253.perlbmk,2298,21147
254.gap,2547,24172
255.vortex,2,9
256.bzip2,18,90
300.twolf,3315,31596
