#Benchmark,Intersect,ITE
400.perlbench,237.4024536666,241.8094633333
401.bzip2,2910.0936220000,0
403.gcc,.0825791666,.0779516666
429.mcf,238.6080755000,256.4716321666
445.gobmk,0,0
456.hmmer,3537.6333176666,4190.8678598333
458.sjeng,0,0
462.libquantum,274.5525578333,301.8452613333
445.gobmk,58934.3449363333,108058.2808270000
