#Slice Iteration,O2,O0
0 161015961 114009573
1 105660421 105874121
2 81650088 68278922
3 61330088 61738229
4 54545224 51706880
5 47230642 45222098
6 41957067 41389562
7 33408309 33866040
8 22890914 27606618
9 21212750 23595531
10 14544665 22916010
11 12892097 21197654
12 11310210 18583261
13 11176272 18822347
14 9957081 18071944
15 10122799 17129689
16 9065637 15141745
17 8505831 13584458
18 7327572 12563342
19 7390496 11177998
20 6847685 9754959
21 7018498 9776595
22 5766430 7106934
23 6624541 6788239
24 5722197 7196926
25 6038272 6975346
26 4235863 4509467
27 4122067 4283434
28 2946811 4181375
29 2911047 4038347
30 2441176 4206715
31 2237313 4132746
32 2224338 3703042
33 2297561 3722556
34 2380662 3629427
35 2156122 4082927
36 1899362 3762372
37 2360232 3743693
38 1944595 3887884
39 2132792 3943432
40 2087054 3472964
41 1974792 3293116
42 1830837 3727239
43 1736709 3913837
44 2101359 3930624
45 1891971 3378081
46 2341285 3210446
47 2138154 3224862
48 1818334 3165099
49 1715244 2918135
50 1531494 2523372
51 1510412 2556133
52 1707436 2277962
53 936798 2361244
54 1175511 2487280
55 977038 3037887
56 771151 2863011
57 606279 2976085
58 708740 2973333
59 538077 3282024
60 521639 2675835
61 511341 2785606
62 428733 2690019
63 393915 2577168
64 226653 2284479
65 203455 2192579
66 192395 2367703
67 183733 2131965
68 199613 2098168
69 187342 2026559
70 202064 2023012
71 181387 2029497
72 206634 1844411
73 177279 1903801
74 186632 1811981
75 150246 1775602
76 158930 1714484
77 139089 1771330
78 141580 1490318
79 131300 1150551
80 136783 1230247
81 126362 1282392
82 119388 1428444
83 109839 1419116
84 105233 1359408
85 91741 1419930
86 83136 1347113
87 78305 1291965
88 83312 1321444
89 67067 1279169
90 69194 1184694
91 64353 1016095
92 73977 903030
93 66526 888012
94 79211 814591
95 68675 798316
96 72011 690685
97 57224 545327
98 62558 596515
99 49512 476423
