#Benchmark,Irrelevant Dependence Count
400.perlbench,13694533
401.bzip2,1152356143
403.gcc,771924133
429.mcf,551596662
445.gobmk,698490275
456.hmmer,621988057
458.sjeng,1146631703
464.h264ref,1223694270
471.omnetpp,970113156
473.astar,1084178076
483.xalancbmk,657662738
