#Benchmark,Intersect,ITE
400.perlbench,138.8286715000,136.2437805000
401.bzip2,0,0
403.gcc,.0171641666,.0163343333
429.mcf,16.7188208333,17.5471551666
445.gobmk,43157.9605176666,7838.3169880000
456.hmmer,875.0703913333,976.3677475000
458.sjeng,0,0
462.libquantum,57.1465111666,53.2255605000
464.h264ref,2305.1958250000,2571.9864713333
