44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44200 44201 44201 44201 44201 44201 44201 44201 44201 44201 44201 44202 44202 44202 44202 44202 44202 44202 44202 44202 44202 44203 44203 44205 44207 44209 44218 44226 44246 44271 44306 44342 44443 44521 44760 44896 45274 45594 46791 47725 50131 51346 54373 57518 57689 61585 60403 63938 55331 58338 43288 45896 31026 25895 13994 3404 1193 220 53 16 6 1
82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82104 82105 82105 82105 82105 82105 82105 82105 82105 82105 82105 82106 82106 82106 82106 82106 82106 82106 82106 82106 82106 82107 82109 82111 82115 82119 82134 82146 82174 82205 82285 82336 82464 82592 83044 83274 84125 84615 86329 88075 90371 91997 97145 102118 102574 108128 97690 100721 77000 78177 53566 54914 35075 27855 14723 3498 1202 220 53 16 6 1
80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80006 80007 80007 80007 80007 80007 80007 80007 80007 80007 80007 80008 80008 80008 80008 80008 80008 80008 80008 80008 80010 80011 80013 80015 80021 80027 80048 80064 80112 80152 80272 80340 80615 80807 81387 81738 83188 83914 86477 89098 93849 96029 103350 110667 112811 120862 105970 110043 80164 81651 54260 55594 35139 27926 14702 3493 1207 221 53 16 6 1
7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7288 7289 7289 7289 7289 7289 7289 7289 7289 7289 7289 7290 7290 7290 7290 7290 7290 7290 7290 7290 7292 7294 7298 7300 7308 7316 7343 7363 7427 7475 7626 7709 8086 8342 9304 9785 12083 13060 17536 21116 29777 32593 42511 52819 59164 72119 61198 72267 49630 58368 38266 43687 27495 25044 13381 3340 1188 216 53 16 6 1
62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62746 62747 62747 62747 62747 62747 62747 62747 62747 62747 62747 62748 62748 62748 62748 62748 62748 62748 62750 62750 62752 62754 62758 62760 62770 62780 62807 62829 62909 62963 63158 63256 63723 64038 65212 65811 68483 69680 74435 78811 89115 92306 101494 113228 116622 129074 105770 112991 77269 80104 51524 53696 33713 27499 14482 3484 1208 221 53 16 6 1
37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37144 37145 37145 37145 37145 37145 37145 37145 37145 37145 37145 37146 37146 37146 37146 37146 37146 37146 37148 37148 37150 37153 37159 37161 37173 37185 37221 37248 37344 37407 37642 37758 38309 38687 40132 40854 43679 45121 51496 56736 69138 72855 85115 99277 100687 115739 92518 102252 67985 73082 47199 50348 31956 26902 14263 3479 1203 219 53 16 6 1
28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28886 28887 28887 28887 28887 28887 28887 28887 28887 28887 28887 28888 28888 28888 28888 28888 28888 28888 28890 28890 28894 28897 28903 28905 28919 28933 28975 29006 29118 29189 29459 29590 30243 30685 32368 33215 37245 38921 46443 52537 66792 70979 84823 100864 102152 118691 91149 101640 65318 71236 45452 49074 30711 26364 13958 3399 1195 219 53 16 6 1
396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 396 397 397 397 397 397 397 397 397 397 397 398 398 398 398 398 398 398 400 400 404 407 415 417 433 449 497 532 660 739 1049 1196 1939 2442 4379 5350 9997 11907 20517 27491 43658 48321 63370 81373 81124 99242 68883 81625 47255 56548 34659 41525 25737 24357 13083 3289 1182 211 53 16 6 1
26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26684 26685 26685 26685 26685 26685 26685 26685 26685 26685 26685 26686 26686 26686 26686 26686 26688 26688 26690 26690 26694 26698 26706 26708 26726 26744 26798 26837 26977 27063 27413 27576 28409 28974 31144 32236 37442 39575 49166 56954 74779 79836 95531 114975 111825 130196 94464 105659 65773 71792 45400 49184 30726 26443 14035 3439 1202 218 53 16 6 1
20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20062 20063 20063 20063 20063 20063 20063 20063 20063 20063 20063 20064 20064 20064 20064 20064 20066 20066 20068 20068 20072 20076 20086 20088 20108 20128 20188 20231 20387 20481 20866 21044 21961 22584 25007 26218 32028 34395 45024 53655 72876 78331 94835 115902 110710 130199 89426 101481 62008 69050 43375 47732 29551 25967 13802 3412 1201 220 53 16 6 1
